order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
230,556,165,89,561.98,9989.7,2020-01-02,22 Crowley Hill,Apple Pay,delivered
231,81,216,4,642.86,1478.22,2021-04-03,4467 Main Parkway,PayPal,pending
232,124,747,74,870.09,8441.26,2021-06-18,5 Merchant Crossing,Apple Pay,shipped
233,705,151,55,746.18,3848.52,2020-01-29,3 Hagan Plaza,Apple Pay,processing
234,176,553,78,966.78,4965.34,2022-01-05,177 Graedel Lane,PayPal,shipped
235,409,389,67,135.46,7593.32,2021-07-05,7 7th Center,credit card,delivered
236,173,411,42,938.93,6325.1,2021-08-13,7 Eastwood Place,Apple Pay,processing
237,620,840,47,315.82,3043.98,2022-07-12,42 Eliot Plaza,PayPal,processing
238,445,525,80,286.93,4809.62,2021-03-10,894 Del Sol Park,PayPal,shipped
239,28,59,28,508.37,5401.73,2022-04-20,74 Express Hill,credit card,shipped
240,577,235,58,14.22,4405.71,2020-05-02,66634 Quincy Hill,Apple Pay,delivered
241,959,591,28,723.66,8102.05,2022-07-29,6 Huxley Trail,PayPal,processing
242,695,406,38,912.92,7323.82,2020-04-28,89744 Prentice Circle,credit card,pending
243,373,202,7,369.75,7060.19,2021-04-13,92 Montana Avenue,credit card,shipped
244,762,939,96,549.42,6845.26,2022-11-09,8 Anderson Avenue,credit card,pending
245,671,981,76,980.44,8637.33,2021-12-30,2 Shoshone Crossing,PayPal,delivered
246,860,937,64,622.67,4218.39,2022-04-30,62 Columbus Trail,Apple Pay,pending
247,278,673,63,98.95,6463.59,2022-02-07,6614 Cambridge Street,PayPal,processing
248,758,2,37,956.09,6252.15,2021-06-04,04467 Butterfield Court,PayPal,delivered
249,141,864,84,985.81,2525.57,2022-08-14,8 Hollow Ridge Court,credit card,delivered
250,217,874,57,783.34,8664.16,2021-06-17,666 David Street,credit card,shipped
251,479,551,2,240.21,3220.41,2020-07-22,86671 Harbort Trail,credit card,pending
252,913,289,65,136.51,1726.0,2022-01-04,385 Blackbird Crossing,Apple Pay,delivered
253,340,461,40,479.54,5820.95,2021-04-09,8713 Ridgeview Parkway,credit card,shipped
254,495,154,94,120.5,3233.74,2020-07-05,47516 Maywood Avenue,Apple Pay,pending
255,422,662,92,708.37,4984.42,2021-08-14,9 Parkside Center,PayPal,processing
256,700,599,12,129.59,572.81,2020-05-28,43431 Eastlawn Street,PayPal,delivered
257,214,80,65,264.7,8472.65,2022-04-19,4 Dorton Road,PayPal,processing
258,165,447,68,310.19,6067.45,2020-04-30,94 Village Court,credit card,pending
259,102,630,6,704.42,7081.72,2022-12-18,59228 Shelley Circle,credit card,delivered
260,565,822,77,559.01,9784.78,2021-01-25,0642 8th Point,PayPal,pending
261,518,948,2,964.12,9701.27,2020-05-13,20244 Hazelcrest Circle,credit card,delivered
262,922,856,20,845.22,6446.48,2021-01-31,57 Dapin Street,Apple Pay,pending
263,388,444,11,261.25,300.73,2022-03-03,047 Jana Circle,Apple Pay,delivered
264,595,397,14,59.66,1479.19,2021-01-31,80524 Mallard Avenue,PayPal,shipped
265,564,712,54,131.99,7652.16,2021-04-22,75 Onsgard Pass,PayPal,processing
266,735,221,20,85.9,7122.3,2021-09-09,2 Stoughton Street,Apple Pay,processing
267,623,67,33,830.99,4781.63,2021-06-23,58248 Mandrake Trail,Apple Pay,delivered
268,879,949,88,160.23,3534.16,2021-02-20,09 Coleman Terrace,credit card,pending
269,380,603,24,427.8,8335.82,2022-05-17,8450 Hagan Circle,Apple Pay,processing
270,5,915,53,856.09,6042.77,2021-04-23,14 Holy Cross Way,Apple Pay,delivered
271,321,861,41,336.95,3525.73,2020-05-25,5 Veith Drive,Apple Pay,pending
272,260,3,64,775.71,9756.96,2022-03-17,1588 Valley Edge Lane,Apple Pay,delivered
273,220,704,19,85.25,7895.97,2020-08-29,1026 Buhler Court,PayPal,pending
274,836,237,80,446.03,3725.74,2020-01-14,810 Eggendart Avenue,Apple Pay,shipped
275,31,329,96,724.89,6715.06,2021-11-23,239 Clyde Gallagher Crossing,PayPal,shipped
276,886,155,51,333.16,6844.88,2020-03-29,6 Burning Wood Pass,Apple Pay,shipped
277,807,167,86,685.83,8321.8,2020-07-17,063 Holmberg Point,Apple Pay,delivered
278,391,690,30,498.03,1399.11,2020-05-20,76395 Drewry Street,credit card,delivered
279,701,651,2,751.12,3256.58,2021-07-13,18804 Gulseth Pass,credit card,shipped
280,558,442,52,918.73,1405.63,2020-09-15,0 Shopko Pass,credit card,delivered
281,687,894,22,115.34,248.11,2021-03-19,04 Oak Avenue,Apple Pay,processing
282,677,642,29,134.26,7219.2,2021-08-05,567 Corscot Street,PayPal,delivered
283,155,655,94,923.49,317.76,2020-12-22,8 David Place,credit card,pending
284,867,519,76,136.63,6511.48,2021-07-29,1 Golf Course Junction,Apple Pay,delivered
285,139,163,11,819.1,6285.47,2021-12-04,0 Nancy Way,Apple Pay,shipped
286,988,589,69,110.9,4833.2,2021-02-11,8 Graedel Hill,Apple Pay,pending
287,864,114,43,679.29,8219.24,2021-12-06,85868 Banding Parkway,credit card,shipped
288,783,608,43,141.95,142.01,2020-03-17,32 Forest Center,PayPal,shipped
289,17,783,55,91.69,8844.59,2021-03-07,106 4th Avenue,credit card,processing
290,740,886,56,671.9,526.41,2020-12-01,580 Moland Junction,Apple Pay,shipped
291,362,391,34,843.22,6345.91,2022-08-30,3167 Mayfield Crossing,credit card,shipped
292,952,990,60,398.47,6650.78,2022-05-16,33 Utah Plaza,Apple Pay,pending
293,375,78,69,42.97,3771.88,2022-03-05,64742 South Way,Apple Pay,pending
294,500,554,16,137.47,4039.96,2021-09-13,526 Moulton Terrace,PayPal,pending
295,73,941,16,296.28,3366.47,2022-08-07,8610 Pierstorff Pass,credit card,processing
296,79,675,16,620.02,1410.17,2020-04-20,46316 Dixon Way,Apple Pay,processing
297,645,862,8,1.54,7267.05,2021-03-28,4276 Larry Avenue,PayPal,shipped
298,339,711,8,908.34,6376.61,2021-07-30,19 Ryan Pass,PayPal,pending
299,791,321,20,763.77,7054.12,2020-03-06,44 Meadow Vale Road,Apple Pay,delivered
300,679,752,1,525.95,814.38,2020-04-19,37266 Linden Crossing,PayPal,delivered
301,10,912,59,506.22,4615.54,2022-08-20,06 Reinke Crossing,credit card,delivered
302,484,346,58,98.77,6509.21,2021-09-26,062 Vera Street,Apple Pay,shipped
303,521,905,25,350.76,2859.52,2021-07-30,06 Truax Way,credit card,delivered
304,781,244,54,835.47,1286.15,2022-12-04,4372 Reindahl Road,Apple Pay,processing
305,579,767,34,208.01,6527.33,2021-08-25,00 Granby Hill,credit card,pending
306,347,524,79,473.32,7258.77,2020-12-27,7 Superior Point,PayPal,processing
307,244,266,79,893.82,4027.19,2021-12-19,492 Moland Way,credit card,pending
308,466,1,33,935.04,3585.53,2020-06-17,9 Elgar Plaza,PayPal,processing
309,617,18,12,465.91,5411.3,2021-04-06,852 Graedel Drive,credit card,shipped
310,920,354,24,641.43,7728.45,2021-04-06,3423 Meadow Ridge Junction,Apple Pay,shipped
311,291,137,29,796.05,7821.99,2022-07-15,2012 School Point,Apple Pay,pending
312,49,951,93,708.86,7383.41,2022-01-14,12 Menomonie Plaza,credit card,delivered
313,600,15,24,698.12,1143.91,2022-04-26,365 New Castle Point,PayPal,processing
314,256,341,17,253.85,1102.41,2020-01-25,67 Lakewood Gardens Lane,Apple Pay,shipped
315,545,700,38,269.04,1387.52,2020-02-10,8789 Anniversary Place,PayPal,shipped
316,793,612,22,943.4,7139.3,2020-12-07,0 Thierer Road,PayPal,delivered
317,159,552,60,189.67,3267.51,2022-11-13,468 Moose Circle,PayPal,shipped
318,609,169,58,328.72,5585.11,2021-09-21,68482 Holy Cross Street,credit card,pending
319,267,43,99,813.67,9447.09,2021-03-27,0 Karstens Junction,credit card,processing
320,26,976,60,635.42,8311.76,2022-06-21,67553 Buell Junction,credit card,pending
321,237,735,69,645.66,7547.2,2021-01-18,46934 Jenna Place,credit card,processing
322,238,975,83,765.06,8744.87,2022-03-07,6945 Twin Pines Court,Apple Pay,pending
